cap_uF,esr_mohm,tau_ms,v_esr_drop,v_cap_drop,vmin_v,regulator_current_peak_a,pass_3p4v
2200,50,0.05,0.1,0.01855428509226298,3.881445714907737,2.9999999940226547,True
2200,50,0.1,0.1,0.03753716151140364,3.862462838488596,2.999868340203689,True
2200,50,0.2,0.1,0.07550399119656612,3.824496008803434,2.980459953702652,True
2200,50,0.5,0.1,0.18940689874093336,3.7105931012590667,2.607527678613823,True
2200,50,1.0,0.1,0.3782878175249912,3.521712182475009,1.9331496206028174,True
2200,75,0.05,0.15,0.01855428509226298,3.831445714907737,2.9999999940226547,True
2200,75,0.1,0.15,0.03753716151140364,3.8124628384885964,2.999868340203689,True
2200,75,0.2,0.15,0.07550399119656612,3.774496008803434,2.980459953702652,True
2200,75,0.5,0.15,0.18940689874093336,3.660593101259067,2.607527678613823,True
2200,75,1.0,0.15,0.3782878175249912,3.471712182475009,1.9331496206028174,True
2200,100,0.05,0.2,0.01855428509226298,3.7814457149077367,2.9999999940226547,True
2200,100,0.1,0.2,0.03753716151140364,3.762462838488596,2.999868340203689,True
2200,100,0.2,0.2,0.07550399119656612,3.724496008803434,2.980459953702652,True
2200,100,0.5,0.2,0.18940689874093336,3.6105931012590666,2.607527678613823,True
2200,100,1.0,0.2,0.3782878175249912,3.4217121824750087,1.9331496206028174,True
2200,150,0.05,0.3,0.01855428509226298,3.681445714907737,2.9999999940226547,True
2200,150,0.1,0.3,0.03753716151140364,3.6624628384885964,2.999868340203689,True
2200,150,0.2,0.3,0.07550399119656612,3.624496008803434,2.980459953702652,True
2200,150,0.5,0.3,0.18940689874093336,3.510593101259067,2.607527678613823,True
2200,150,1.0,0.3,0.3782878175249912,3.321712182475009,1.9331496206028174,False
3300,5,0.05,0.01,0.012369523394841984,3.9776304766051584,2.9999999940226547,True
3300,5,0.1,0.01,0.02502477434093576,3.9649752256590642,2.999868340203689,True
3300,5,0.2,0.01,0.050335994131044066,3.939664005868956,2.980459953702652,True
3300,5,0.5,0.01,0.1262712658272889,3.863728734172711,2.607527678613823,True
3300,5,1.0,0.01,0.2521918783499941,3.737808121650006,1.9331496206028174,True
3300,10,0.05,0.02,0.012369523394841984,3.967630476605158,2.9999999940226547,True
3300,10,0.1,0.02,0.02502477434093576,3.954975225659064,2.999868340203689,True
3300,10,0.2,0.02,0.050335994131044066,3.929664005868956,2.980459953702652,True
3300,10,0.5,0.02,0.1262712658272889,3.853728734172711,2.607527678613823,True
3300,10,1.0,0.02,0.2521918783499941,3.727808121650006,1.9331496206028174,True
3300,20,0.05,0.04,0.012369523394841984,3.947630476605158,2.9999999940226547,True
3300,20,0.1,0.04,0.02502477434093576,3.934975225659064,2.999868340203689,True
3300,20,0.2,0.04,0.050335994131044066,3.909664005868956,2.980459953702652,True
3300,20,0.5,0.04,0.1262712658272889,3.833728734172711,2.607527678613823,True
3300,20,1.0,0.04,0.2521918783499941,3.7078081216500056,1.9331496206028174,True
3300,30,0.05,0.06,0.012369523394841984,3.927630476605158,2.9999999940226547,True
3300,30,0.1,0.06,0.02502477434093576,3.914975225659064,2.999868340203689,True
3300,30,0.2,0.06,0.050335994131044066,3.8896640058689558,2.980459953702652,True
3300,30,0.5,0.06,0.1262712658272889,3.813728734172711,2.607527678613823,True
3300,30,1.0,0.06,0.2521918783499941,3.687808121650006,1.9331496206028174,True
3300,50,0.05,0.1,0.012369523394841984,3.887630476605158,2.9999999940226547,True
3300,50,0.1,0.1,0.02502477434093576,3.874975225659064,2.999868340203689,True
3300,50,0.2,0.1,0.050335994131044066,3.8496640058689557,2.980459953702652,True
3300,50,0.5,0.1,0.1262712658272889,3.773728734172711,2.607527678613823,True
3300,50,1.0,0.1,0.2521918783499941,3.647808121650006,1.9331496206028174,True
3300,75,0.05,0.15,0.012369523394841984,3.8376304766051583,2.9999999940226547,True
3300,75,0.1,0.15,0.02502477434093576,3.824975225659064,2.999868340203689,True
3300,75,0.2,0.15,0.050335994131044066,3.799664005868956,2.980459953702652,True
3300,75,0.5,0.15,0.1262712658272889,3.723728734172711,2.607527678613823,True
3300,75,1.0,0.15,0.2521918783499941,3.597808121650006,1.9331496206028174,True
3300,100,0.05,0.2,0.012369523394841984,3.787630476605158,2.9999999940226547,True
3300,100,0.1,0.2,0.02502477434093576,3.774975225659064,2.999868340203689,True
3300,100,0.2,0.2,0.050335994131044066,3.7496640058689557,2.980459953702652,True
3300,100,0.5,0.2,0.1262712658272889,3.6737287341727107,2.607527678613823,True
3300,100,1.0,0.2,0.2521918783499941,3.5478081216500055,1.9331496206028174,True
3300,150,0.05,0.3,0.012369523394841984,3.6876304766051584,2.9999999940226547,True
3300,150,0.1,0.3,0.02502477434093576,3.674975225659064,2.999868340203689,True
3300,150,0.2,0.3,0.050335994131044066,3.649664005868956,2.980459953702652,True
3300,150,0.5,0.3,0.1262712658272889,3.573728734172711,2.607527678613823,True
