battery_oc_v,efficiency,source_r_ohm,bms_limit_a,input_current_a,source_sag_v,battery_terminal_v,current_margin_a,bms_pass,voltage_margin_to_6v_cutoff_v
6.4,0.9,0.1,5.0,2.7152777777777772,0.27152777777777776,6.128472222222222,2.2847222222222228,True,0.12847222222222232
6.4,0.9,0.1,6.0,2.7152777777777772,0.27152777777777776,6.128472222222222,3.2847222222222228,True,0.12847222222222232
6.4,0.9,0.15,3.0,2.7152777777777772,0.40729166666666655,5.992708333333334,0.28472222222222276,True,-0.007291666666666252
6.4,0.9,0.15,4.0,2.7152777777777772,0.40729166666666655,5.992708333333334,1.2847222222222228,True,-0.007291666666666252
6.4,0.9,0.15,5.0,2.7152777777777772,0.40729166666666655,5.992708333333334,2.2847222222222228,True,-0.007291666666666252
6.4,0.9,0.15,6.0,2.7152777777777772,0.40729166666666655,5.992708333333334,3.2847222222222228,True,-0.007291666666666252
6.4,0.9,0.2,3.0,2.7152777777777772,0.5430555555555555,5.856944444444445,0.28472222222222276,True,-0.14305555555555483
6.4,0.9,0.2,4.0,2.7152777777777772,0.5430555555555555,5.856944444444445,1.2847222222222228,True,-0.14305555555555483
6.4,0.9,0.2,5.0,2.7152777777777772,0.5430555555555555,5.856944444444445,2.2847222222222228,True,-0.14305555555555483
6.4,0.9,0.2,6.0,2.7152777777777772,0.5430555555555555,5.856944444444445,3.2847222222222228,True,-0.14305555555555483
6.4,0.9,0.25,3.0,2.7152777777777772,0.6788194444444443,5.721180555555556,0.28472222222222276,True,-0.2788194444444443
6.4,0.9,0.25,4.0,2.7152777777777772,0.6788194444444443,5.721180555555556,1.2847222222222228,True,-0.2788194444444443
6.4,0.9,0.25,5.0,2.7152777777777772,0.6788194444444443,5.721180555555556,2.2847222222222228,True,-0.2788194444444443
6.4,0.9,0.25,6.0,2.7152777777777772,0.6788194444444443,5.721180555555556,3.2847222222222228,True,-0.2788194444444443
6.4,0.95,0.05,3.0,2.5723684210526314,0.12861842105263158,6.271381578947369,0.4276315789473686,True,0.27138157894736903
6.4,0.95,0.05,4.0,2.5723684210526314,0.12861842105263158,6.271381578947369,1.4276315789473686,True,0.27138157894736903
6.4,0.95,0.05,5.0,2.5723684210526314,0.12861842105263158,6.271381578947369,2.4276315789473686,True,0.27138157894736903
6.4,0.95,0.05,6.0,2.5723684210526314,0.12861842105263158,6.271381578947369,3.4276315789473686,True,0.27138157894736903
6.4,0.95,0.1,3.0,2.5723684210526314,0.25723684210526315,6.142763157894737,0.4276315789473686,True,0.14276315789473681
6.4,0.95,0.1,4.0,2.5723684210526314,0.25723684210526315,6.142763157894737,1.4276315789473686,True,0.14276315789473681
6.4,0.95,0.1,5.0,2.5723684210526314,0.25723684210526315,6.142763157894737,2.4276315789473686,True,0.14276315789473681
6.4,0.95,0.1,6.0,2.5723684210526314,0.25723684210526315,6.142763157894737,3.4276315789473686,True,0.14276315789473681
6.4,0.95,0.15,3.0,2.5723684210526314,0.3858552631578947,6.0141447368421055,0.4276315789473686,True,0.014144736842105488
6.4,0.95,0.15,4.0,2.5723684210526314,0.3858552631578947,6.0141447368421055,1.4276315789473686,True,0.014144736842105488
6.4,0.95,0.15,5.0,2.5723684210526314,0.3858552631578947,6.0141447368421055,2.4276315789473686,True,0.014144736842105488
6.4,0.95,0.15,6.0,2.5723684210526314,0.3858552631578947,6.0141447368421055,3.4276315789473686,True,0.014144736842105488
6.4,0.95,0.2,3.0,2.5723684210526314,0.5144736842105263,5.885526315789474,0.4276315789473686,True,-0.11447368421052584
6.4,0.95,0.2,4.0,2.5723684210526314,0.5144736842105263,5.885526315789474,1.4276315789473686,True,-0.11447368421052584
6.4,0.95,0.2,5.0,2.5723684210526314,0.5144736842105263,5.885526315789474,2.4276315789473686,True,-0.11447368421052584
6.4,0.95,0.2,6.0,2.5723684210526314,0.5144736842105263,5.885526315789474,3.4276315789473686,True,-0.11447368421052584
6.4,0.95,0.25,3.0,2.5723684210526314,0.6430921052631579,5.756907894736843,0.4276315789473686,True,-0.24309210526315717
6.4,0.95,0.25,4.0,2.5723684210526314,0.6430921052631579,5.756907894736843,1.4276315789473686,True,-0.24309210526315717
6.4,0.95,0.25,5.0,2.5723684210526314,0.6430921052631579,5.756907894736843,2.4276315789473686,True,-0.24309210526315717
6.4,0.95,0.25,6.0,2.5723684210526314,0.6430921052631579,5.756907894736843,3.4276315789473686,True,-0.24309210526315717
7.0,0.85,0.05,3.0,2.628571428571429,0.13142857142857145,6.868571428571428,0.371428571428571,True,0.8685714285714283
7.0,0.85,0.05,4.0,2.628571428571429,0.13142857142857145,6.868571428571428,1.371428571428571,True,0.8685714285714283
7.0,0.85,0.05,5.0,2.628571428571429,0.13142857142857145,6.868571428571428,2.371428571428571,True,0.8685714285714283
7.0,0.85,0.05,6.0,2.628571428571429,0.13142857142857145,6.868571428571428,3.371428571428571,True,0.8685714285714283
7.0,0.85,0.1,3.0,2.628571428571429,0.2628571428571429,6.737142857142857,0.371428571428571,True,0.7371428571428567
7.0,0.85,0.1,4.0,2.628571428571429,0.2628571428571429,6.737142857142857,1.371428571428571,True,0.7371428571428567
7.0,0.85,0.1,5.0,2.628571428571429,0.2628571428571429,6.737142857142857,2.371428571428571,True,0.7371428571428567
7.0,0.85,0.1,6.0,2.628571428571429,0.2628571428571429,6.737142857142857,3.371428571428571,True,0.7371428571428567
7.0,0.85,0.15,3.0,2.628571428571429,0.39428571428571435,6.605714285714286,0.371428571428571,True,0.6057142857142859
7.0,0.85,0.15,4.0,2.628571428571429,0.39428571428571435,6.605714285714286,1.371428571428571,True,0.6057142857142859
7.0,0.85,0.15,5.0,2.628571428571429,0.39428571428571435,6.605714285714286,2.371428571428571,True,0.6057142857142859
7.0,0.85,0.15,6.0,2.628571428571429,0.39428571428571435,6.605714285714286,3.371428571428571,True,0.6057142857142859
