rf_ohm,cf_f,fc_hz,vout_3uA_mV,fc_pass,gain_pass
47153.712105966304,9.765530982490685e-08,34.56275730658654,141.4611363178989,True,True
46759.39521124721,1.0165537219109687e-07,33.48273391227753,140.27818563374163,True,True
45292.789117953405,9.772485700665589e-08,35.957213002890285,135.87836735386023,True,True
45690.54157205767,9.905795419197986e-08,35.16450200975103,137.071624716173,True,True
45996.86513959668,9.774780120329592e-08,35.3985033854464,137.99059541879006,True,True
48334.976020457376,1.026426915976193e-07,32.07972171095119,145.00492806137214,True,True
49254.75862821046,9.534109532322114e-08,33.891578727224044,147.7642758846314,True,True
46777.37943301403,9.503524535177667e-08,35.80136153653358,140.3321382990421,True,True
46228.7976101893,1.0495385502218794e-07,32.80266575733647,138.6863928305679,True,True
44948.95865179728,1.0216149380370096e-07,34.658779282965035,134.84687595539182,True,True
45544.886518087565,9.857469248963658e-08,35.449905058834965,136.6346595542627,True,True
47709.5845405696,9.833301307485989e-08,33.9246323757326,143.12875362170882,True,True
48754.191500247594,9.976406549084993e-08,32.72156252606449,146.2625745007428,True,True
47361.63019095785,1.0204433445542417e-07,32.93097518854526,142.08489057287355,True,True
49067.60617230749,1.0122175930098952e-07,32.044343565696515,147.20281851692246,True,True
48775.55565057861,9.515942530879833e-08,34.2898902828256,146.32666695173583,True,True
47876.62766834064,1.0311402894287535e-07,32.238796687421974,143.62988300502192,True,True
47127.983938599304,1.0227596277721294e-07,33.01928718064482,141.3839518157979,True,True
46363.5546225806,1.0324599506737772e-07,33.24835723062917,139.0906638677418,True,True
47579.502260511195,9.799022051864644e-08,34.136382970225405,142.7385067815336,True,True
47310.3745242432,1.0055189819043328e-07,33.455958138376154,141.9311235727296,True,True
45568.30993538332,9.652621469159536e-08,36.18361340217689,136.70492980614995,True,True
45227.916362170385,1.0233676986613478e-07,34.38601484876858,135.68374908651114,True,True
49258.35117396922,9.735878955639562e-08,33.18677839151016,147.77505352190764,True,True
46639.56697722126,1.0241493113992809e-07,33.319796839676314,139.91870093166378,True,True
45455.23267333816,1.0268211785915921e-07,34.09898319860254,136.3656980200145,True,True
48550.552823549944,9.573552308274941e-08,34.24150444457959,145.65165847064983,True,True
46165.98531837178,1.0441345467077889e-07,33.01730010981874,138.49795595511532,True,True
48125.93770211003,9.535058103822495e-08,34.68307405824724,144.3778131063301,True,True
48139.17086363454,9.807664706954441e-08,33.70977979376666,144.41751259090364,True,True
46028.16062668455,1.0145538842053763e-07,34.081711334910196,138.08448188005366,True,True
46485.2218000335,9.788045282738407e-08,34.97915019638685,139.4556654001005,True,True
48679.217386521035,9.784344377723042e-08,33.415257646897714,146.0376521595631,True,True
48316.96433440861,9.756940089235855e-08,33.760343191171394,144.95089300322584,True,True
46295.55388441155,1.0389833227465556e-07,33.08813360565629,138.88666165323465,True,True
48524.21355130901,9.969943663035785e-08,32.897956500994496,145.57264065392704,True,True
44959.86679167284,1.021769057246932e-07,34.64514387618984,134.8796003750185,True,True
46990.58671496229,9.673460956507855e-08,35.012843368738515,140.97176014488687,True,True
47370.2561363838,1.0468410202690425e-07,32.09472557238107,142.1107684091514,True,True
45658.233437993134,1.047121904721921e-07,33.289232528022104,136.9747003139794,True,True
47101.02765411194,9.580412485594244e-08,35.270006594175186,141.30308296233582,True,True
49218.228617913825,9.625278490120749e-08,33.595479845882366,147.65468585374148,True,True
45273.21329965955,1.0068078506692242e-07,34.91662175811965,135.81963989897864,True,True
48499.96993893645,1.0383738234607708e-07,31.602754019812014,145.49990981680935,True,True
45316.68182195654,9.663891697987521e-08,36.34209631046897,135.9500454658696,True,True
49169.182874613965,9.741337844394393e-08,33.228331542719125,147.5075486238419,True,True
48265.881374685065,9.92903275719177e-08,33.21031133502936,144.79764412405518,True,True
45793.0134617838,1.0040690656236386e-07,34.61444087153506,137.3790403853514,True,True
46419.829549961396,9.667884721603619e-08,35.46378839136301,139.2594886498842,True,True
47987.80418570302,9.506347711658062e-08,34.88795859538777,143.96341255710905,True,True
45524.6907490129,1.0438422256024484e-07,33.49178282144738,136.5740722470387,True,True
48075.64872365507,9.510468028152493e-08,34.80912355437123,144.22694617096522,True,True
49097.27411797109,1.0395682494234624e-07,31.182414780329065,147.2918223539133,True,True
48438.82317473436,1.0152560451182525e-07,32.36316326689514,145.3164695242031,True,True
48484.45525570994,9.804436754252009e-08,33.48073333088892,145.4533657671298,True,True
48435.99668884709,1.022981458881457e-07,32.12063544950702,145.30799006654127,True,True
48417.95798423729,9.846145715551426e-08,33.38469429223319,145.2538739527119,True,True
47894.09176523734,1.0315351631998102e-07,32.214704558492855,143.682275295712,True,True
49121.08692910855,1.010430241327269e-07,32.06607675037002,147.36326078732566,True,True
45550.92763739888,1.0164206841462729e-07,34.375530691164144,136.65278291219664,True,True
48943.68269284308,1.0394934023754505e-07,31.282521400774993,146.83104807852925,True,True
45415.59407931656,1.0229337877358566e-07,34.25844200788936,136.24678223794967,True,True
48432.3169415106,9.877976347414092e-08,33.267250167704226,145.29695082453182,True,True
48139.906479154284,9.966164304062911e-08,33.173160248146544,144.41971943746285,True,True
48542.0554149953,9.924820259575476e-08,33.03538097394622,145.6261662449859,True,True
46703.20640512712,9.944081248763167e-08,34.26957902685208,140.10961921538137,True,True
49044.86370297482,1.0224119918203416e-07,31.73954268749744,147.13459110892447,True,True
47430.71073655864,9.76313920149349e-08,34.369326174386806,142.29213220967594,True,True
48595.73530550471,9.644958159343202e-08,33.956398824505094,145.78720591651415,True,True
48241.04193220535,1.0484301972853472e-07,31.467622472032513,144.72312579661605,True,True
49238.36041368721,9.94109998257686e-08,32.51487636372255,147.71508124106165,True,True
47737.550467613124,9.87326091484819e-08,33.7675372110519,143.21265140283936,True,True
45085.12926837563,1.029718175730946e-07,34.28218023167041,135.2553878051269,True,True
46887.63960070947,1.033120525449851e-07,32.855703563128905,140.66291880212842,True,True
45084.22694876313,9.638897951435525e-08,36.62419789382923,135.2526808462894,True,True
46845.264092883015,9.597802269686021e-08,35.398319227374195,140.53579227864904,True,True
47468.98167992352,9.698653661490892e-08,34.569951120425195,142.40694503977056,True,True
45070.12028456098,9.5787498121155e-08,36.86570847446259,135.21036085368294,True,True
46511.92601185179,1.0157833268321561e-07,33.68640983603326,139.53577803555538,True,True
48632.88498839694,1.011555588282822e-07,32.35194119676606,145.89865496519081,True,True
47871.18660977354,9.943489740414897e-08,33.43544509661674,143.61355982932062,True,True
44704.29273517394,9.98881073654999e-08,35.64159401405304,134.11287820552184,True,True
