battery_v,r_top_ohm,r_bottom_ohm,ratio,adc_v,adc_pass
6.384884644392658,10001.066754856862,3298.727139469426,0.24802844056678713,1.583632981547536,True
6.515691100806607,9900.327591842753,3300.0293108669207,0.24999546112192728,1.6288932012741857,True
6.363126259035888,10039.813829761883,3297.688495573105,0.24724932863247165,1.5732786955502742,True
6.521181985237134,9904.167402551664,3306.2271322015904,0.25027466995809483,1.6320866690918974,True
6.7940601055539425,9970.639990951426,3277.9799722454677,0.2474204846505757,1.680989644061298,True
6.889063890337989,10088.365418615978,3285.825121036014,0.2456840368240719,1.6925330265171825,True
7.019699296328208,9942.567569402589,3328.355390700601,0.2508005962137483,1.760544768760344,True
6.872117438116345,9988.308474923031,3285.087385848727,0.247494116826387,1.7008086360738182,True
8.035900108252157,10055.424977736513,3297.7954649908816,0.2469663014353193,1.9845965284387173,True
7.554847418164614,10096.712659773057,3280.6808896399907,0.2452406649712369,1.8527558045869221,True
7.57256608392208,10046.642608373439,3319.5602150772415,0.24835476903381665,1.8806829007657817,True
7.304345818552372,10043.606416514753,3276.6562498019184,0.24599036309454264,1.7967986800738023,True
7.161062696556445,9916.132004159019,3284.086297216628,0.24879030196601976,1.7816029506738775,True
7.84802277576191,10033.717813028496,3284.45892909946,0.2466147576124354,1.9354382345813959,True
7.055244138611467,9970.61048702603,3276.9698305888965,0.24736365072130223,1.7452109468570018,True
7.629440552476074,9991.328888557582,3278.5951511518506,0.24706962461434262,1.8850030133177063,True
6.514694995218047,9956.037417628308,3275.691036136484,0.24756335104537755,1.6127997240547296,True
6.477312678212157,10098.023117106775,3314.6944799423354,0.24713071426118674,1.6007429086596108,True
7.2617288433822385,10057.955862052706,3314.0472532455824,0.2478347652681994,1.7997088633409501,True
7.144904314714164,9929.116026199179,3318.3839638002523,0.25049133544482416,1.7897366234182372,True
6.3504058778700445,10082.517891017444,3326.4544603017384,0.2480767633154587,1.5753881359214648,True
6.991318848346254,10080.741349974036,3291.163737479643,0.24612526905890242,1.7207402326257977,True
7.902006193197905,10060.037991849447,3299.3956694987073,0.24697122296767723,1.951568133432246,True
7.860074097462555,10042.54797699081,3272.2571443367688,0.24576079893916628,1.931698089913444,True
6.08623843297225,10043.416307163576,3328.7545071316513,0.2489314976124235,1.5150564479460717,True
7.3866280011792735,10013.459305716842,3280.3788466542173,0.2467593488844406,1.8227195160225744,True
8.387666240985816,9957.64269427155,3309.0253350199087,0.24942399460919018,2.0920852192753325,True
7.743265468040626,10000.695815661009,3287.49729963392,0.24739987379096384,1.9156828995231794,True
7.573055028314574,9908.218303526706,3303.353441659548,0.25003485621331556,1.893527725100161,True
7.173890960963695,9920.239213667544,3281.9676281716243,0.24859235031606436,1.7833744148971344,True
7.848427358334119,9942.70504312723,3267.414308225701,0.247341770450474,1.9412439180622978,True
7.28908124176553,9929.20656417696,3270.474346366806,0.24776919749282617,1.806009809732258,True
7.536782492716253,10096.836390936156,3316.068971064237,0.24722972999264348,1.8633167006875218,True
6.5642916133039035,9902.468973527984,3300.5825969240345,0.24998634439258166,1.640983263936725,True
6.550593783160628,9972.163625147145,3303.6052698791086,0.2488447408207595,1.6300808121926849,True
6.489054970031293,9959.686488638637,3276.884583611328,0.24756295008162715,1.6064495916227917,True
6.103323307400992,9998.15199788431,3313.673724884607,0.24892706634648976,1.5192823658754842,True
7.743965037663582,9900.091055826939,3292.3267275649782,0.2495620425021504,1.9325997318645654,True
8.171876809756814,10002.270194325689,3317.4515781862056,0.24906312870832478,2.0353132056570358,True
7.9445717401179055,10007.30511559859,3310.7493868389984,0.24859106757920502,1.9749495703354927,True
6.584507128480611,10020.148396810027,3307.534184827163,0.24817023999237992,1.6340787143065696,True
8.175387439652459,10067.061476838557,3276.953599201084,0.2455747824419911,2.0076689918716393,True
6.074741892090541,10072.721110421355,3274.463985179237,0.24532992999838923,1.490316003144855,True
7.1040837279129985,10065.413760396785,3320.2405644306345,0.24804469649812522,1.7621302921874498,True
7.328694483228931,10088.19050307084,3321.0292082116607,0.24766759585700207,1.8150801434317836,True
7.824533817007936,10033.422808738576,3274.295786043069,0.24604486206426232,1.9251863437228736,True
6.059839609190728,9987.614315065524,3318.712249003854,0.24940859770909726,1.5113760992703036,True
8.098192498946682,10035.080119657932,3327.984030158837,0.24904348230674844,2.016802060328071,True
6.832001319777149,10004.295848120879,3299.0525057088225,0.24798662847606393,1.6942449730355542,True
7.7193748622596745,10099.84031192239,3287.0557327970178,0.2455427846616938,1.8954367995267194,True
6.1405479625094,9954.717625544521,3281.752228750967,0.24793258813534602,1.5224419489141812,True
7.008759557632301,9964.119563106227,3290.554151523125,0.24825614137082064,1.7399676035736549,True
8.172481478464693,10053.214287616562,3305.4794812022296,0.24744032151689246,2.0222014446221523,True
6.580038821210331,10008.946792262479,3280.58965949794,0.246855085683848,1.6243160470129225,True
7.171632720625792,9977.945816109137,3305.1831227685566,0.2488256447691921,1.784486135757548,True
6.642580203182067,10041.746581054871,3269.6207453137818,0.24562621293133047,1.6315918194002388,True
7.315077478761097,10044.758659208199,3283.4187666950625,0.24635166998255523,1.802081552944576,True
6.190310891025146,10040.642701743125,3275.8918918457525,0.24600183094353242,1.5228278133018756,True
